Date,Time,C_CO2
11/08/2023,11:25,238.15533447265625
11/08/2023,11:25,235.82086181640625
11/08/2023,11:25,229.52645874023438
11/08/2023,11:26,221.20001220703125
11/08/2023,11:26,220.84036254882812
11/08/2023,11:26,216.50167846679688
11/08/2023,11:26,213.1666259765625
11/08/2023,11:26,214.85671997070312
11/08/2023,11:26,219.59793090820312
11/08/2023,11:27,220.379150390625
11/08/2023,11:27,218.16064453125
11/08/2023,11:27,216.01333618164062
11/08/2023,11:27,215.90869140625
11/08/2023,11:27,223.85507202148438
11/08/2023,11:27,243.82257080078125
11/08/2023,11:28,253.8079833984375
11/08/2023,11:28,257.5963134765625
11/08/2023,11:28,259.58416748046875
11/08/2023,11:28,261.55511474609375
11/08/2023,11:28,261.51336669921875
11/08/2023,11:28,261.45672607421875
11/08/2023,11:29,261.40118408203125
11/08/2023,11:29,263.36785888671875
11/08/2023,11:29,261.3555908203125
11/08/2023,11:29,261.36944580078125
11/08/2023,11:29,261.4384765625
11/08/2023,11:29,261.6168212890625
11/08/2023,11:30,262.00537109375
11/08/2023,11:30,262.65386962890625
11/08/2023,11:30,265.666259765625
11/08/2023,11:30,272.94580078125
11/08/2023,11:30,278.4312744140625
11/08/2023,11:30,286.19122314453125
11/08/2023,11:31,293.94903564453125
11/08/2023,11:31,301.68231201171875
11/08/2023,11:31,305.24468994140625
11/08/2023,11:31,306.7529296875
11/08/2023,11:31,310.51666259765625
11/08/2023,11:31,312.04425048828125
11/08/2023,11:32,315.68927001953125
11/08/2023,11:32,323.309814453125
11/08/2023,11:32,326.99456787109375
11/08/2023,11:32,334.61822509765625
11/08/2023,11:32,342.40570068359375
11/08/2023,11:32,348.26806640625
11/08/2023,11:33,350.29644775390625
11/08/2023,11:33,350.3017578125
11/08/2023,11:33,350.24859619140625
11/08/2023,11:33,350.16131591796875
11/08/2023,11:33,355.990966796875
11/08/2023,11:33,361.73028564453125
11/08/2023,11:34,377.6153564453125
11/08/2023,11:34,384.9820556640625
11/08/2023,11:34,396.26605224609375
11/08/2023,11:34,409.39971923828125
11/08/2023,11:34,412.44757080078125
11/08/2023,11:34,415.55828857421875
11/08/2023,11:35,414.5994873046875
11/08/2023,11:35,415.6597900390625
11/08/2023,11:35,414.8719482421875
11/08/2023,11:35,414.17919921875
11/08/2023,11:35,413.56304931640625
11/08/2023,11:35,409.0198974609375
11/08/2023,11:36,404.60845947265625
11/08/2023,11:36,394.20703125
11/08/2023,11:36,368.05255126953125
